t,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ
12548372,0.05,-0.10,1.01,1.33,-1.08,-233.59,27.34,-5.46,-25.02
12599447,0.08,0.23,1.00,1.33,-1.39,-258.92,31.29,-3.64,-26.53
12649683,-0.00,0.05,1.00,0.85,-0.41,-182.57,34.08,-2.43,-25.73
12698546,-0.08,-0.05,1.00,0.85,-0.11,-82.10,35.56,-1.05,-26.50
12748787,-0.00,-0.04,1.01,0.30,0.62,-2.70,35.73,-0.99,-26.17
12798103,-0.01,-0.03,1.00,0.36,0.01,-6.66,35.78,-1.06,-25.68
12848492,0.00,-0.03,1.00,0.36,0.08,-0.07,36.40,-0.90,-25.49
12898663,0.00,-0.03,1.00,0.48,-0.05,0.17,36.45,-1.10,-25.83
12948813,-0.00,-0.03,1.00,0.24,0.44,-0.26,36.33,-1.29,-26.42
12997449,-0.00,-0.03,1.00,0.24,0.38,0.05,36.10,-1.20,-25.67
13047489,0.00,-0.03,1.00,0.17,0.26,0.17,36.13,-1.14,-26.11
13097423,0.00,-0.03,1.00,0.17,0.14,0.11,36.13,-1.28,-26.21
13147609,-0.00,-0.03,1.00,-1.29,0.56,7.62,36.55,-1.50,-26.07
13198208,-0.06,-0.06,1.03,-26.56,-1.69,-10.33,36.35,-2.16,-25.51
13247081,0.05,0.07,0.95,-149.54,-4.81,5.79,35.57,-4.32,-25.43
13297461,-0.05,0.01,1.20,-140.15,-2.98,7.19,35.58,-6.65,-23.97
13347778,0.00,0.28,0.96,-308.48,10.08,-4.22,36.35,-14.27,-19.29
13396436,0.18,0.37,0.59,-293.22,-27.51,-27.36,36.54,-20.03,-11.46
13447083,-0.01,0.87,0.30,-216.81,-3.95,-8.50,36.67,-22.50,-4.65
13497602,0.02,0.88,0.38,-79.90,-5.36,-5.38,38.89,-24.16,-1.62
13546731,0.02,0.92,0.29,-65.26,4.77,2.55,39.14,-24.22,-0.34
13596697,0.01,0.96,0.22,-4.77,2.94,3.47,38.18,-23.60,2.04
13646948,0.03,0.92,0.28,-5.56,1.17,-0.50,38.09,-23.60,1.12
13697087,0.01,0.93,0.28,12.56,0.01,-1.05,38.71,-23.47,1.45
13745895,0.02,0.91,0.30,1.58,2.64,-0.74,38.06,-23.94,2.12
13795877,0.02,0.92,0.30,5.30,-0.96,0.54,38.27,-23.58,1.76
13845574,0.02,0.93,0.28,20.74,-1.94,-0.26,38.37,-24.38,-0.45
13896986,0.01,0.90,0.33,91.36,3.25,0.35,39.25,-24.52,-1.67
13945775,0.00,0.86,0.36,163.57,11.24,4.02,39.69,-24.00,-5.19
13995738,0.02,0.73,0.45,364.07,9.41,11.28,38.43,-20.30,-13.12
14045703,0.01,0.17,0.66,421.93,-2.98,2.55,38.00,-11.68,-21.92
14095851,-0.01,-0.05,0.92,0.17,0.44,0.05,36.90,-2.89,-25.89
14144884,0.00,-0.03,0.96,0.30,0.20,0.11,36.88,-2.08,-26.14
14195564,0.01,-0.02,1.05,0.30,0.50,-0.01,36.87,-2.75,-26.14
14246150,-0.00,-0.03,1.01,2.86,-1.88,0.05,38.18,-4.76,-26.20
14294825,0.00,0.02,1.03,3.04,-0.60,-2.09,38.27,-4.09,-25.50
14345428,0.06,-0.02,0.99,13.48,1.30,-24.73,37.40,-1.50,-26.35
14395623,0.00,-0.06,1.03,6.28,1.48,-1.17,37.70,-1.65,-26.15
14445202,0.00,-0.08,1.04,29.78,3.31,-0.93,38.61,-1.79,-26.35
14494866,0.04,-0.07,1.18,101.68,5.87,0.29,39.09,-0.50,-27.17
14545228,0.02,-0.18,1.15,222.16,-6.15,-1.48,37.71,7.26,-26.12
14594078,0.02,-0.53,0.69,303.15,0.44,-3.19,35.36,16.69,-25.26
14644449,0.00,-0.74,0.57,239.07,-1.08,-5.32,34.83,22.02,-21.18
14694584,-0.01,-0.87,0.43,189.38,-6.03,-2.58,35.38,26.29,-18.18
14744734,0.01,-0.93,0.31,187.31,-16.47,7.13,34.83,29.24,-13.82
14794773,0.00,-1.00,0.07,154.29,-21.71,8.17,34.23,32.28,-9.40
14843227,-0.00,-1.07,-0.12,107.78,2.03,-0.87,34.33,32.87,-6.10
14893468,0.00,-1.03,-0.07,23.86,-3.46,-1.11,33.95,33.44,-5.15
14944292,0.00,-1.03,-0.10,-3.24,2.09,-0.13,34.34,33.28,-5.05
14992811,-0.00,-1.01,0.01,-18.99,-1.63,-0.32,34.06,33.06,-6.65
15042994,-0.00,-1.02,-0.04,-4.28,1.91,0.42,33.87,33.50,-5.66
15093162,-0.00,-1.03,-0.02,-17.28,0.69,-0.38,34.09,33.37,-6.20
15142784,-0.00,-1.05,-0.04,-35.16,2.27,0.05,34.47,32.54,-6.96
15193896,-0.01,-1.03,0.02,-91.01,5.02,2.61,35.00,31.67,-9.06
15243829,0.00,-1.01,0.11,-150.95,8.25,3.96,35.01,30.42,-11.49
15292596,0.01,-0.88,0.40,-209.97,2.82,3.96,34.57,27.71,-17.09
15342710,0.00,-0.78,0.45,-254.83,6.12,5.60,35.11,23.38,-21.73
15393026,0.06,-0.44,0.65,-382.09,27.79,-24.85,36.65,13.98,-26.37
15442093,0.03,-0.07,0.76,-404.61,-6.46,-3.92,37.45,1.71,-25.89
15493151,0.00,-0.03,1.00,-0.19,0.26,-0.32,35.96,0.60,-25.78
15542407,-0.01,-0.02,1.01,0.48,0.38,-2.88,36.83,-0.79,-26.56
15593109,0.00,-0.03,1.00,0.36,0.38,-0.32,36.58,-0.73,-25.52
15642008,0.00,-0.03,1.00,0.36,-0.05,-0.32,36.52,-0.37,-25.68
15692439,0.00,-0.03,1.00,-0.07,0.62,-0.01,36.39,-0.04,-25.07
15742218,0.00,-0.02,1.00,0.17,0.32,-0.26,35.95,-0.43,-25.90
15792267,-0.02,-0.05,1.00,0.91,0.99,-9.17,37.16,-1.34,-26.49
15841404,0.00,-0.03,1.00,0.72,0.56,-0.38,37.51,-2.03,-25.72
15892152,0.00,-0.03,1.01,0.97,0.69,-1.11,38.35,-2.06,-25.04
15941199,0.00,-0.03,1.00,1.09,-0.17,-1.66,37.55,-1.71,-25.51
15991923,0.00,-0.03,1.00,1.46,-0.54,0.23,37.52,-1.78,-25.67
16040896,-0.00,-0.03,1.00,-0.37,-0.54,0.48,37.34,-1.32,-26.32
16091427,0.00,-0.03,1.00,1.40,0.20,2.00,37.23,-0.65,-26.56
16141586,-0.00,-0.03,1.00,1.03,-0.11,1.27,36.45,-0.68,-26.09
16190476,0.01,-0.03,1.00,1.46,-0.54,10.91,35.46,0.12,-25.68
16240601,0.01,-0.05,1.00,1.09,-0.78,4.38,35.47,0.37,-26.17
