t,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ
32364717,0.04,-0.02,0.84,17.91,-21.36,87.3,40.21,1.82,-30.65
32413703,0.02,-0.18,1.05,-47.46,1.35,103.17,39.11,-0.96,-30.44
32463847,0.03,-0.03,0.96,10.4,-0.97,36.7,38.9,-1.86,-30.41
32512494,0.03,-0.02,1.12,-24.14,4.4,58.06,38.6,-3.2,-29.77
32562818,-0.07,-0.13,1,8.57,-20.93,-7.06,37.9,-3.05,-30.36
32613162,-0.09,-0.02,0.86,-2.84,-5.91,16.68,37.05,-2.8,-30.42
32661978,0.02,-0.07,1.17,-1.07,15.33,-4.01,37.84,-2.86,-29.86
32712617,-0.03,-0.03,0.97,7.72,-4.57,-2.18,37.98,-2.37,-29.96
32762770,0.01,0,1.07,-20.67,16.18,4.66,38.5,-3.42,-29.64
32811873,0,-0.01,1.06,-6.51,2.51,-6.39,38.55,-3.47,-28.7
32862431,-0.02,0,0.96,-10.72,4.34,0.45,38.56,-4.14,-29.13
32910993,0.02,0.01,1.02,-1.07,-4.94,-6.45,38.44,-4.25,-29.03
32961524,-0.01,0.02,0.99,-3.27,0.55,-1.14,38.46,-4.22,-28.6
33011656,0.03,0.05,1,-1.38,-0.3,1.06,38.15,-3.93,-29.02
33061787,-0.01,-0.04,1,5.15,-6.46,-1.75,38.02,-4.31,-29.05
33110475,-0.04,-0.04,0.98,1.06,-2.01,-3.7,38.6,-3.86,-29.9
33161005,0,0,1.06,-5.59,0.86,-5.23,38.34,-3.5,-28.41
33211212,-0.01,0.06,0.99,-5.83,-0.3,-2.18,38.65,-3.91,-29.09
33260112,0.01,0.02,1.02,-5.41,-4.39,-2.06,38.6,-4.21,-28.78
33310554,0,0.03,1,-5.47,-1.76,-1.57,37.87,-4.13,-29.32
33360861,-0.01,0.04,0.96,0.88,-2.62,-2.97,38.49,-4.55,-29
33410500,0,0.04,1.03,-0.34,1.65,-1.38,38.43,-4.09,-29.04
33459851,0,0.05,1,1.12,1.04,-2.85,38.42,-4.8,-29.24
33508965,0,0.05,1.02,-3.21,5.44,-1.14,38.27,-4.16,-28.81
33559755,-0.02,0.02,1.03,0.09,1.17,0.02,38.1,-4.41,-28.69
33608835,-0.01,0.03,1.01,-1.68,-0.24,-0.35,38.89,-4.61,-29.08
33659731,-0.03,0.05,0.97,-0.77,-1.22,-1.14,38.5,-4.25,-28.98
33709753,-0.01,0.03,0.99,-2.11,2.26,-1.08,38.82,-4.72,-29.27
33758357,0,0.04,1,-0.4,1.59,-2.36,38.75,-4.6,-29.88
