t,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ
28157941,0.02,-0.05,1.01,0.23,0.21,-29.9,36.77,15.97,-27.19
28208648,0.01,-0.03,1.01,0.47,0.09,-16.72,36.69,16.15,-27.93
28258831,0.01,-0.04,1,0.29,0.21,-19.77,36.45,16.28,-27.31
28307744,0.01,-0.04,1.01,0.35,0.21,-15.5,36.67,16.43,-27.53
28358075,0,-0.03,1,0.29,0.09,-31.92,35.96,16.97,-27.36
28406923,0,-0.04,1,0.35,0.21,-37.11,35.49,17.82,-27.81
28457260,0,-0.03,1.01,0.35,0.15,-38.33,34.96,18.48,-29.47
28507441,0,-0.04,1,0.35,0.09,-50.17,34.29,18.55,-27.03
28557534,0,-0.05,1.02,0.66,0.28,-30.58,34.29,19.18,-27.77
28606689,0,-0.02,1.01,0.41,0.09,-20.44,33.72,20.39,-26.76
28656977,-0.01,-0.05,1,0.47,-0.03,-36.37,33.26,19.78,-27.19
28705675,-0.01,-0.04,1,0.41,0.21,-10.86,33.11,20.87,-27.03
28756018,0,-0.02,1,1.76,0.46,-11.65,33.41,20.39,-27.32
28805727,0,-0.05,1,-15.94,-0.03,-31.55,32.84,20.79,-27.51
28855105,0,-0.03,1.01,0.05,0.15,-21.36,32.1,21.19,-26.81
28905803,0,-0.04,1,0.23,0.09,-23.92,31.87,20.9,-26.81
28954945,0,-0.04,1.01,0.29,0.28,-11.84,31.45,21.3,-27.43
29005366,0,-0.03,1,0.17,0.28,-13.24,31.58,20.67,-27.1
29054290,0,-0.04,1,0.29,0.4,-12.88,31.52,21.34,-27.06
29104117,0,-0.04,1,0.23,0.03,-10.43,31.4,21.24,-27.54
29154108,0,-0.02,1.01,0.11,0.21,-12.14,30.83,21.67,-27.72
29204364,0,-0.05,1.01,0.29,0.28,-15.74,30.57,21.9,-27.12
29254356,0,-0.04,1,0.29,0.34,-3.6,30.29,21.78,-27.08
29304659,0.01,-0.02,1.01,0.23,0.21,-7.99,30.63,21.7,-27.37
29353636,0,-0.03,1,0.11,0.21,-12.33,30.31,21.73,-27.45
29403883,0.01,-0.03,1,0.29,0.28,-3.96,30.18,21.86,-26.76
29453282,0,-0.05,1.01,0.29,0.34,-4.88,30.47,22.23,-26.98
29502834,0,-0.03,1,0.29,0.28,-2.26,30.38,22.08,-27.86
29553615,0.01,-0.04,1.01,0.17,0.4,-1.4,29.91,21.8,-27.54
29602380,0,-0.04,1.01,0.29,0.21,-0.06,30.38,21.85,-26.45
29652698,0.01,-0.03,1,0.29,0.4,-0.12,30.27,21.66,-26.99
29702690,0,-0.04,1.01,0.29,0.34,0.06,30.21,22.01,-27.75
29752726,0.01,-0.02,1,0.23,0.28,0,29.88,22.11,-27.47
29801411,0,-0.04,1.01,0.23,0.34,0,29.99,21.79,-26.64
29851660,0,-0.03,1.01,0.23,0.21,0,30.14,21.83,-27.54
29901431,0,-0.03,1.01,0.29,0.34,-0.18,30.41,21.78,-28.02
29951679,0,-0.04,1.01,0.41,0.34,0.19,29.61,21.79,-26.65
30001629,0,-0.03,1.01,0.23,0.28,-0.12,30.53,21.62,-27.1
30051905,0,-0.04,1,0.17,0.46,-0.06,30.32,21.45,-27.27
30101434,0,-0.04,1.01,0.17,0.21,0.13,30.37,21.23,-28.55
30150782,0,-0.02,1,0.17,0.28,-0.06,30.85,21.36,-28.1
30199974,0,-0.05,1.01,0.23,0.34,-0.06,30.4,21.26,-27.14
30250798,0,-0.03,1.01,0.23,0.15,-0.06,30.44,21.13,-27.59
30299522,0,-0.03,1.01,0.11,0.28,-0.06,30.13,21.56,-26.89
30349588,0,-0.04,1.01,0.17,0.21,-0.06,30.81,21.9,-28.03
30399947,0.01,-0.03,1,0.23,0.21,-0.18,30.31,21.25,-27.03
30450310,0,-0.04,1.01,0.17,0.21,0,30.09,21.07,-27.62
30499142,0,-0.02,1,0.23,0.46,-0.18,30.63,21.51,-27.2
30549210,0,-0.04,1,-0.01,0.21,0,30.96,20.4,-27.23
30599292,0,-0.04,1.01,0.41,0.46,0.06,30.9,20.53,-28.09
30649331,0.01,-0.03,1.01,0.05,0.4,-0.12,30.92,20.02,-27.87
30698242,0,-0.04,1.01,-0.2,0.03,0.19,31.38,20.1,-26.95
30748704,0,-0.04,1.01,-0.62,-0.4,0.13,31.71,18.84,-27.21
30798816,0,-0.03,1,0.23,0.03,0.06,32.25,18.73,-28.52
30847840,0,-0.04,1.01,0.17,0.15,0.25,32.43,19.14,-27.01
30898639,0,-0.02,1,0.29,0.03,0.13,31.92,19.58,-28.12
30946936,0,-0.04,1.01,0.23,0.09,0.13,32.58,19.08,-27.28
30996829,0,-0.03,1.01,0.23,0.21,0,32.54,18.99,-28.03
31047359,0,-0.02,1,0.17,0.21,0,32.73,18.8,-27.32
31097830,0,-0.04,1.01,0.23,0.21,0.06,32.75,19.09,-27.42
31146729,0,-0.02,1,0.23,0.28,0,32.84,18.63,-27.32
31195928,0,-0.04,1.01,0.23,0.34,0.19,32.78,18.75,-27.25
31246285,0,-0.02,1,0.23,0.4,0.13,32.5,18.66,-27.54
31296747,0,-0.03,1.01,0.17,0.15,0.06,32.75,19.3,-27.87
31345260,0,-0.04,1,0.17,0.21,0.31,32.51,18.98,-26.88
31395466,0,-0.03,1,0.23,0.28,0.25,32.6,18.9,-27.48
31445277,0,-0.04,1,0.23,0.4,0.13,31.77,19.13,-27.23
31495536,0,-0.04,1.01,0.17,0.34,0.13,32.19,19.27,-27.62
31544633,0,-0.03,1.01,0.17,0.21,0.13,31.79,19.29,-27.89
31595501,0,-0.04,1.01,0.17,0.28,0.06,32.57,18.9,-28.44
31643988,0,-0.02,1,0.29,0.21,0.25,31.95,18.88,-27.91
31693836,0,-0.03,1.01,0.17,0.34,0.13,32.26,19.29,-27.88
31744057,0,-0.03,1.01,0.35,0.28,0.25,31.79,19.46,-27.84
31794226,0,-0.03,1,0.17,0.28,0.19,31.85,18.64,-27.97
31844126,0,-0.04,1.01,0.23,0.28,0.19,31.93,18.9,-28.15
31893261,0,-0.02,1,0.29,0.28,0.13,31.6,19.19,-27.51
31943488,0,-0.04,1.01,0.41,0.28,0.19,32.35,18.52,-27.59
31993254,0,-0.02,1,0.29,0.34,0.25,31.98,18.92,-28.33
32043478,0,-0.03,1.01,0.05,0.15,0.06,31.75,18.84,-27.71
32093738,0,-0.04,1.01,0.29,0.21,0.19,32.34,18.79,-28.21
32143468,0,-0.03,1.01,0.35,0.21,0.13,32.37,18.59,-28.32
32192735,0,-0.03,1.01,0.17,0.15,0.19,32.4,18.73,-28.6
32241840,0,-0.04,1.01,0.41,0.28,0.19,32.67,18.88,-27.14
32291446,0,-0.02,1.01,0.29,0.21,0.19,32.78,19.03,-27.88
32341887,0,-0.04,1.01,0.35,0.28,0.31,32.29,18.69,-28.11
32391992,0,-0.02,1,0.23,0.4,0.13,32.7,19.34,-28.11
32441866,0,-0.03,1.01,0.23,0.21,0.13,32.42,19.09,-27.82
32492044,0,-0.03,1.01,0.35,0.28,0.13,32.56,19.03,-27.44
